condition,frame_idx,w_cam,w_lidar,r_cam,r_lidar
Clean_Nominal,0,0.0,1.0,0.01,0.21595077032738247
Clean_Nominal,1,0.0,1.0,0.01,0.2109022768222217
Clean_Nominal,2,0.0,1.0,0.01,0.28421395998979165
Clean_Nominal,3,0.0,1.0,0.01,0.18482449787120553
Clean_Nominal,4,0.0,1.0,0.01,0.27912328456454477
Clean_Nominal,5,0.0,1.0,0.009999999999999998,0.21427065503757925
Clean_Nominal,6,0.0,1.0,0.01,0.2789637282726907
Clean_Nominal,7,0.0,1.0,0.009999999999999998,0.29321222101390093
Clean_Nominal,8,0.0,1.0,0.01,0.23462736962674077
Clean_Nominal,9,0.0,1.0,0.009999999999999998,0.21958023487941736
Clean_Nominal,10,0.0,1.0,0.01,0.2926524650563712
Clean_Nominal,11,0.0,1.0,0.009999999999999998,0.22740670462888288
Clean_Nominal,12,0.0,1.0,0.01,0.2932465717516754
Clean_Nominal,13,0.0,1.0,0.009999999999999998,0.20333204932968377
Clean_Nominal,14,0.0,1.0,0.01,0.3043664003468134
Clean_Nominal,15,0.0,1.0,0.009999999999999998,0.22987142486767026
Clean_Nominal,16,0.0,1.0,0.01,0.25282175694995895
Clean_Nominal,17,0.0,1.0,0.01,0.25391795224416147
Clean_Nominal,18,0.0,1.0,0.01,0.2922665881249701
Clean_Nominal,19,0.0,1.0,0.009999999999999998,0.2313625700289248
Clean_Nominal,20,0.0,1.0,0.01,0.26606565142246713
Clean_Nominal,21,0.0,1.0,0.01,0.23333185765746295
Clean_Nominal,22,0.0,1.0,0.01,0.22068676801468456
Clean_Nominal,23,0.0,1.0,0.01,0.2084871815653888
Clean_Nominal,24,0.0,1.0,0.01,0.30649199176737124
Clean_Nominal,25,0.0,1.0,0.009999999999999998,0.2632793373276385
Clean_Nominal,26,0.0,1.0,0.01,0.25547803400991026
Clean_Nominal,27,0.0,1.0,0.009999999999999998,0.207356915718938
Clean_Nominal,28,0.0,1.0,0.01,0.2379343394840005
Clean_Nominal,29,0.0,1.0,0.009999999999999998,0.25572642027680503
Clean_Nominal,30,0.0,1.0,0.01,0.20691320113385897
Clean_Nominal,31,0.0,1.0,0.009999999999999998,0.2450844334125275
Clean_Nominal,32,0.0,1.0,0.01,0.2531732479335994
