frame_id,precision,recall,f1_score,loc_error_m,confidence,latency_ms,fps
0,1.0,1.0,1.0,0.0,0.2119,3824.97,0.3
1,1.0,1.0,1.0,0.0124,0.2103,198.74,5.0
2,1.0,1.0,1.0,0.0,0.2763,187.6,5.3
3,1.0,1.0,1.0,0.0134,0.1795,164.28,6.1
4,0.8333,1.0,0.9091,0.3674,0.2431,161.13,6.2
5,1.0,0.9231,0.96,0.0499,0.2143,157.65,6.3
6,1.0,1.0,1.0,0.0,0.2629,147.84,6.8
7,1.0,1.0,1.0,0.0062,0.2714,157.15,6.4
8,1.0,1.0,1.0,0.0477,0.2346,135.07,7.4
9,1.0,1.0,1.0,0.0045,0.2197,149.54,6.7
10,1.0,1.0,1.0,0.0714,0.2927,133.86,7.5
11,1.0,1.0,1.0,0.0029,0.2275,139.15,7.2
12,1.0,1.0,1.0,0.0,0.2555,145.06,6.9
13,1.0,1.0,1.0,0.0034,0.2049,148.31,6.7
14,1.0,1.0,1.0,0.0534,0.3241,155.67,6.4
15,1.0,1.0,1.0,0.001,0.2115,164.63,6.1
16,1.0,1.0,1.0,0.0,0.2528,166.98,6.0
17,1.0,1.0,1.0,0.0,0.2572,171.28,5.8
18,1.0,1.0,1.0,0.0,0.2923,183.58,5.4
19,0.8667,1.0,0.9286,0.0151,0.2181,186.43,5.4
20,1.0,1.0,1.0,0.0319,0.266,197.72,5.1
21,1.0,0.9,0.9474,0.1055,0.2333,178.68,5.6
22,0.8889,1.0,0.9412,0.0,0.2207,206.53,4.8
23,1.0,1.0,1.0,0.0091,0.2086,208.03,4.8
24,1.0,1.0,1.0,0.048,0.3065,197.49,5.1
25,1.0,0.8333,0.9091,0.0099,0.2633,217.76,4.6
26,1.0,1.0,1.0,0.0,0.2555,215.64,4.6
27,1.0,1.0,1.0,0.0,0.2073,207.57,4.8
28,1.0,1.0,1.0,0.0,0.238,217.13,4.6
29,0.9091,1.0,0.9524,0.002,0.2558,187.91,5.3
30,1.0,1.0,1.0,0.0155,0.2328,192.76,5.2
31,1.0,1.0,1.0,0.004,0.2452,192.88,5.2
32,1.0,1.0,1.0,0.0,0.2477,184.29,5.4
33,1.0,1.0,1.0,0.0037,0.2024,181.98,5.5
34,1.0,1.0,1.0,0.0,0.2919,152.52,6.6
35,0.7692,0.8333,0.8,0.432,0.2114,157.97,6.3
36,1.0,1.0,1.0,1.0015,0.2355,136.36,7.3
37,0.3571,0.625,0.4545,0.9064,0.1862,132.85,7.5
38,0.2,0.3333,0.25,1.4194,0.2433,141.19,7.1
39,0.4,0.2,0.2667,1.7794,0.3031,145.4,6.9
40,0.25,0.3333,0.2857,2.2642,0.1285,140.9,7.1
41,0.1429,0.125,0.1333,0.938,0.1104,145.98,6.9
42,0.2,1.0,0.3333,2.4305,0.1274,144.6,6.9
43,0.0,0.0,0.0,0.0,0.0567,143.23,7.0
44,0.0,0.0,0.0,0.0,0.01,124.8,8.0
45,0.0,0.0,0.0,0.0,0.073,174.2,5.7
46,0.25,1.0,0.4,2.2258,0.1267,145.27,6.9
47,0.25,0.2,0.2222,1.488,0.112,138.75,7.2
48,0.1111,1.0,0.2,2.3585,0.1572,132.03,7.6
49,0.1818,0.3333,0.2353,1.0812,0.224,140.02,7.1
50,0.25,1.0,0.4,0.5714,0.226,149.68,6.7
51,0.4167,0.625,0.5,0.599,0.1536,141.84,7.1
52,0.3333,1.0,0.5,0.4765,0.2011,151.86,6.6
53,1.0,0.8333,0.9091,0.5978,0.2785,167.76,6.0
54,1.0,1.0,1.0,0.0384,0.1017,172.07,5.8
55,1.0,1.0,1.0,0.006,0.3422,175.98,5.7
56,1.0,1.0,1.0,0.0,0.1017,178.76,5.6
57,1.0,1.0,1.0,0.002,0.2776,181.62,5.5
58,1.0,1.0,1.0,0.0,0.0688,168.66,5.9
59,1.0,0.75,0.8571,0.0243,0.2966,170.71,5.9
60,0.1429,1.0,0.25,2.8519,0.1628,179.56,5.6
61,0.6,0.6667,0.6316,0.4902,0.2204,174.01,5.7
62,0.0,1.0,0.0,0.0,0.2435,168.68,5.9
63,0.6667,0.6667,0.6667,0.3844,0.1546,184.75,5.4
64,0.25,1.0,0.4,0.3291,0.2214,187.33,5.3
65,0.2,0.1667,0.1818,0.1719,0.1236,208.73,4.8
66,0.2,1.0,0.3333,0.9157,0.2034,175.9,5.7
67,0.2857,0.3333,0.3077,0.7683,0.3376,175.55,5.7
68,1.0,1.0,1.0,0.3612,0.3199,175.89,5.7
69,1.0,1.0,1.0,0.0067,0.3077,177.68,5.6
