frame_id,timestamp,segment_id,r_cam,r_lidar,cam_health,lidar_health,w_cam,w_lidar
0,3635.612287860364,nominal_baseline,0.01,0.2224,FAILED,SEVERELY_DEGRADED,0.0,1.0
1,3635.662287861109,nominal_baseline,0.01,0.2107,FAILED,SEVERELY_DEGRADED,0.0,1.0
2,3635.712287861854,nominal_baseline,0.01,0.2842,FAILED,SEVERELY_DEGRADED,0.0,1.0
3,3635.762287862599,nominal_baseline,0.01,0.1738,FAILED,SEVERELY_DEGRADED,0.0,1.0
4,3635.812287863344,nominal_baseline,0.01,0.2791,FAILED,SEVERELY_DEGRADED,0.0,1.0
5,3635.862287864089,nominal_baseline,0.01,0.2304,FAILED,SEVERELY_DEGRADED,0.0,1.0
6,3635.912287864834,nominal_baseline,0.01,0.279,FAILED,SEVERELY_DEGRADED,0.0,1.0
7,3635.962287865579,nominal_baseline,0.01,0.2561,FAILED,SEVERELY_DEGRADED,0.0,1.0
8,3636.012287866324,nominal_baseline,0.01,0.2346,FAILED,SEVERELY_DEGRADED,0.0,1.0
9,3636.062287867069,nominal_baseline,0.01,0.2195,FAILED,SEVERELY_DEGRADED,0.0,1.0
10,3636.1122878678143,nominal_baseline,0.01,0.2927,FAILED,SEVERELY_DEGRADED,0.0,1.0
11,3636.16228786856,nominal_baseline,0.01,0.2275,FAILED,SEVERELY_DEGRADED,0.0,1.0
12,3636.212287869304,nominal_baseline,0.01,0.2529,FAILED,SEVERELY_DEGRADED,0.0,1.0
13,3636.2622878700495,nominal_baseline,0.01,0.2048,FAILED,SEVERELY_DEGRADED,0.0,1.0
14,3636.3122878707945,nominal_baseline,0.01,0.3119,FAILED,SEVERELY_DEGRADED,0.0,1.0
15,3636.36228787154,camera_blur_ramp,0.01,0.2111,FAILED,SEVERELY_DEGRADED,0.0,1.0
16,3636.4122878722847,camera_blur_ramp,0.01,0.2528,FAILED,SEVERELY_DEGRADED,0.0,1.0
17,3636.4622878730297,camera_blur_ramp,0.01,0.2523,FAILED,SEVERELY_DEGRADED,0.0,1.0
18,3636.512287873775,camera_blur_ramp,0.01,0.2923,FAILED,SEVERELY_DEGRADED,0.0,1.0
19,3636.56228787452,camera_blur_ramp,0.01,0.2313,FAILED,SEVERELY_DEGRADED,0.0,1.0
20,3636.612287875265,camera_blur_ramp,0.01,0.266,FAILED,SEVERELY_DEGRADED,0.0,1.0
21,3636.66228787601,camera_blur_ramp,0.01,0.2335,FAILED,SEVERELY_DEGRADED,0.0,1.0
22,3636.712287876755,camera_blur_ramp,0.01,0.223,FAILED,SEVERELY_DEGRADED,0.0,1.0
23,3636.7622878775,camera_blur_ramp,0.01,0.2087,FAILED,SEVERELY_DEGRADED,0.0,1.0
24,3636.812287878245,camera_blur_ramp,0.01,0.3016,FAILED,SEVERELY_DEGRADED,0.0,1.0
