frame_idx,latency_ms,single_frame_count,temporal_no_imu_count,temporal_with_imu_count,persistence_no_imu,persistence_with_imu,pos_no_x,pos_no_y,pos_with_x,pos_with_y
0,4133.65,5,5,5,1.0,1.0,2.2351833333333326,-4.170188095238094,2.2351833333333326,-4.170188095238094
1,112.85,8,8,8,1.0,1.0,-1.0486,8.571214285714285,-1.0486,8.571214285714285
2,107.98,5,5,5,0.733,0.733,2.2313819758672695,-4.162615050635638,2.2249828551213895,-4.162615026603691
3,120.84,15,19,19,0.772,0.772,2.2313819758672695,-4.162615050635638,2.216944525767651,-4.162614973894272
4,111.29,5,12,12,0.525,0.525,2.2192811368953818,-4.160233321168795,2.2095187119316915,-4.160233274613052
5,122.94,13,19,19,0.614,0.614,2.2192811368953818,-4.160233321168795,2.205003150105599,-4.160233235733185
6,110.78,5,19,19,0.509,0.509,2.2306011763341216,-4.161601983630243,2.221493463459826,-4.161601910337205
7,136.24,12,22,22,0.48,0.48,2.2306011763341216,-4.161601983630243,2.2191865943217723,-4.161601849838358
8,124.51,4,21,21,0.434,0.434,2.226362632263743,-4.1571321147256,2.219435403147418,-4.157132057274248
9,136.68,13,21,21,0.457,0.457,2.226362632263743,-4.1571321147256,2.218320615965293,-4.157132022005298
10,128.72,6,22,22,0.456,0.456,2.2259034311333883,-4.151034196604459,2.2211900268633933,-4.151034145306209
11,140.33,13,19,19,0.465,0.465,2.2259034311333883,-4.151034196604459,2.220670756335582,-4.15103410961122
12,145.93,6,24,24,0.545,0.545,2.2279542814107978,-4.154654337262289,2.213669777445418,-4.154651738034205
13,141.91,10,20,20,0.459,0.459,2.2279542814107978,-4.154654337262289,2.1553577212959243,-4.154647951421858
14,136.16,5,19,19,0.444,0.444,2.157095320607939,-4.16395261571428,2.075730000201174,-4.163210418174335
15,186.03,9,17,17,0.521,0.521,2.157095320607939,-4.16395261571428,1.9611464427222927,-4.170793006085766
16,143.62,6,16,16,0.453,0.453,2.028469722146114,-4.191785118663111,1.8449406080395347,-4.204204768094464
17,157.97,8,16,16,0.447,0.447,2.028469722146114,-4.191785118663111,1.6817087543194233,-4.222365224898272
18,153.73,5,16,17,0.447,0.471,1.8127806122864827,-4.228697778452221,1.531959714763592,-4.2547662436438936
19,159.66,13,21,20,0.519,0.492,1.8127806122864827,-4.228697778452221,1.3468718787054972,-4.271247914488142
20,155.51,6,19,19,0.493,0.44,1.5285350756361948,-4.259304180024264,1.173447970107615,-4.290299731360496
21,147.09,10,19,22,0.48,0.471,1.5285350756361948,-4.259304180024264,0.9703103012506453,-4.303397522360465
22,158.88,9,23,24,0.52,0.499,1.1880993203756631,-4.309614457041261,0.7742988412711903,-4.339177800493018
23,183.18,8,18,19,0.451,0.439,1.1880993203756631,-4.309614457041261,0.5542398917075269,-4.347454396600318
24,170.06,6,18,19,0.452,0.445,0.7966692768040164,-4.377499460728295,0.3335306870551959,-4.400687982809984
25,166.27,10,18,18,0.48,0.479,0.7966692768040164,-4.377499460728295,0.0970593456031437,-4.402664688847856
